Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
3584,Junior H,Mente Positiva,3WQilym5Vi4ypxb70vx0eY,75,2020,sad,0.576,0.604,5,-7.558,0,0.047,0.27,0.0,0.176,0.734,99.746,192391,3,True,70,https://i.scdn.co/image/ab67616d0000b2739c076fb69a52578d6441d57e,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3585,Junior H,Se Amerita,3pQYf90V5idOGrXzosm9rt,75,2020,sad,0.752,0.719,6,-4.399,0,0.0285,0.264,7.96e-05,0.126,0.544,107.582,235858,4,False,73,https://i.scdn.co/image/ab67616d0000b2730e0c5ba78f182bc532329b89,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3586,Junior H,Dias Nublados,7xQrt5TkFBBmlTEPJvXTH8,75,2020,sad,0.739,0.689,0,-4.859,0,0.0284,0.43,0.00318,0.102,0.4,99.984,221888,3,False,73,https://i.scdn.co/image/ab67616d0000b273a360516982fbcaa2db0bb938,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3609,Junior H,Intro,1s1hRKC0zaL2O7zdLIm6md,74,2020,sad,0.694,0.59,2,-6.023,0,0.0248,0.32,0.0682,0.104,0.338,105.022,240389,3,False,75,https://i.scdn.co/image/ab67616d0000b2730e0c5ba78f182bc532329b89,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3611,Junior H,Clave Ali,0rSlb6Ng6JobokQUPngjRE,74,2020,sad,0.649,0.704,10,-4.073,1,0.0364,0.311,1.61e-05,0.31,0.611,108.181,201873,4,False,71,https://i.scdn.co/image/ab67616d0000b2730e0c5ba78f182bc532329b89,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3706,Junior H,1004 Kilómetros,0pt0wjZNeFOMIeCudmXRrl,71,2020,sad,0.651,0.567,11,-6.477,0,0.0301,0.671,0.000373,0.126,0.521,96.845,277167,4,True,1,https://i.scdn.co/image/ab67616d0000b2734eb8ff6781d1f056c22ef377,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3752,Junior H,Atrapado en un Sueño,4FJHSPdhQqxovmYP9YpcHN,70,2020,sad,0.726,0.647,7,-7.245,0,0.0364,0.0317,2.86e-06,0.109,0.366,92.453,210162,3,True,69,https://i.scdn.co/image/ab67616d0000b2739c076fb69a52578d6441d57e,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3754,Junior H,Psicodelica,6HzREffgQ16b7Rlrr6BY0m,70,2020,sad,0.686,0.615,9,-5.551,1,0.0245,0.365,6.24e-05,0.142,0.57,105.202,253606,3,False,72,https://i.scdn.co/image/ab67616d0000b273a360516982fbcaa2db0bb938,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3814,Junior H,Se Quedan Viendo,5AZBBx9tnjEI5q7UyNpgra,69,2020,sad,0.426,0.628,8,-6.087,1,0.035,0.392,3.77e-05,0.115,0.325,175.179,197517,3,False,65,https://i.scdn.co/image/ab67616d0000b273a360516982fbcaa2db0bb938,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3816,Junior H,Jueves 10,7KoyXL9zghiNpXkb5iVDyj,69,2020,sad,0.614,0.56,4,-7.68,0,0.0378,0.305,4.99e-06,0.106,0.538,155.293,287929,3,True,66,https://i.scdn.co/image/ab67616d0000b2739c076fb69a52578d6441d57e,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
3884,Junior H,No Me Pesa,4YU704KDCv4tyE6qQxliY3,68,2020,sad,0.51,0.736,9,-3.866,1,0.0362,0.114,4.51e-06,0.101,0.514,100.152,221813,4,False,68,https://i.scdn.co/image/ab67616d0000b2730e0c5ba78f182bc532329b89,28288198.0,88.0,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c
